,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
676,bangalore,Diesel,SUV,"1,10,000",Manual,3,Mahindra,Mahindra XUV500,2015,3801,W6 2WD,685000.0,2015,Third Party insurance,Diesel,7.0,110000,KA19,2179 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio",16.0,2179.0,140bhp@3750rpm,330,Others,mHawk Diesel Engine,2179.0,330Nm@1600-2800rpm,4,Direct Injection,Yes,No,4585,1890,1785,2700,1840,6 Speed ,FWD,Power,5.6,Disc,Disc,Tubeless Tyres,5,355
677,bangalore,Petrol,Hatchback,"41,000",Automatic,2,Honda,Honda Brio,2012,1199,V AT ,425000.0,2012,Comprehensive,Petrol,5.0,41000,KA05,1198 cc,Automatic,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.4,1198.0,86.8bhp@6000rpm,109,Silver,SOHC i-VTEC,1198.0,109Nm@4600rpm,4,PGM - Fi,No,No,3610,1680,1500,2345,920-940kg,5 Speed,FWD,Power,4.5,Disc,Drum,"Tubeless,Radial",5,355
678,bangalore,Petrol,Hatchback,"70,000",Automatic,2,Hyundai,Hyundai i10,2009,1583,Magna AT,265000.0,2009,Third Party insurance,Petrol,5.0,70000,KA01,1197 cc,Automatic,2009.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Wheel Covers,Centeral Locking,Child Safety Locks",19.2,1197.0,"80 @ 5,200 (PS@rpm)",11,Others,In-Line Engine,1197.0,"11.4 @ 4,000 (kgm@rpm)",4,MPFI,No,No,4047,1709,1567,2523,960,4 Speed,,Power,5.0,Ventilated Disc,Drum,"Tubeless,Radial",5,355
679,bangalore,Petrol,Sedan,"25,887",Manual,1,Maruti,Maruti Swift Dzire,2019,4226,ZXi,600000.0,2019,Comprehensive,Petrol,5.0,25887,KA03,1298 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Fog Lights Rear,Anti Lock Braking System,Centeral Locking,Cd Player",17.5,1298.0,85.8bhp@6000rpm,114,Orange,In-Line Engine,1298.0,114Nm@4000rpm,4,MPFI,No,No,4160,1690,1530,2390,1035kg,5 Speed,2 WD,Power,4.7,Ventilated Disc,Drum,"Tubeless,Radial",4,355
680,bangalore,Petrol,Sedan,"40,000",Manual,1,Honda,Honda City,2016,1215,i VTEC V,650000.0,2016,Third Party insurance,Petrol,5.0,40000,TN10,1497 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.8,1497.0,117.3bhp@6600rpm,145,Others,i VTEC Engine,1497.0,145Nm@4600rpm,4,PGM-Fi,No,No,4440,1695,1495,2600,1049kg,5 Speed,FWD,Power,5.3,Disc,Drum,"Tubeless,Radial",4,355
681,bangalore,Diesel,Hatchback,"50,000",Manual,1,Maruti,Maruti Swift,2015,4164,VDI BSIV,430000.0,2015,Third Party insurance,Diesel,5.0,50000,,1248 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",25.2,1248.0,74bhp@4000rpm,190,Others,DDiS Diesel Engine,1248.0,190Nm@2000rpm,4,CRDI,Yes,No,3840,1735,1530,2450,960Kg,5 Speed,FWD,Power,4.8,Ventilated Disc,Drum,Tubeless Tyres,5,355
682,bangalore,Petrol,Minivans,"10,000",Manual,1,Maruti,Maruti Eeco,2021,7346,7 Seater STD 2020-2022,530000.0,2021,Third Party insurance,Petrol,7.0,10000,KA03,1196 cc,Manual,2021.0,"Accessory Power Outlet,Rear Seat Headrest,Heater,Digital Odometer,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",16.11,1196.0,72.41bhp@6000rpm,98,Others,G12B,1196.0,98Nm@3000rpm,4,,,,3675,1475,1825,2350,940,5 Speed,,Manual,4.5,Disc,Drum,Tubeless,5,355
683,bangalore,Petrol,Hatchback,"20,000",Manual,1,Volkswagen,Volkswagen Polo,2022,7745,1.0 TSI Highline Plus,1075000.0,2022,Third Party insurance,Petrol,5.0,20000,KA04,999 cc,Manual,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.24,999.0,108.62bhp@5000-5500rpm,175,Others,1.0L TSI Petrol,999.0,175nm@1750-4000rpm,3,TSI,Yes,No,3971,1682,1469,2470,1072Kg,6 Speed,FWD,Electronic,4.9,Disc,Drum,"Tubeless,Radial",5,280
684,bangalore,Petrol,Sedan,"60,000",Manual,2,Hyundai,Hyundai Verna,2017,5967,VTVT 1.6 SX,750000.0,2017,Third Party insurance,Petrol,5.0,60000,KA05,1591 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.0,1591.0,121.3bhp@6400rpm,151,Others,VTVT Petrol Engine,1591.0,151Nm@4850rpm,4,MPFI,No,No,4440,1729,1475,2600,1228,6 Speed,FWD,Power,5.0,Disc,Drum,Tubeless,4,480
685,bangalore,Petrol,Hatchback,"64,235",Manual,2,Hyundai,Hyundai i20,2017,1482,Asta 1.2,615000.0,2017,Third Party,Petrol,5.0,64235,KA53,1197 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.6,1197.0,81.83bhp@6000rpm,114,Red,Kappa VTVT Petrol Engine,1197.0,114.7Nm@4000rpm,4,MPFI,No,No,3985,1734,1505,2570,1066kg,5 Speed,FWD,Power,5.2,Disc,Drum,Tubeless,5,355
